hypothesis,premise,s1,s2,label,contradiction_severity_score,reviewer1_label,reviewer1_score,reviewer2_label,reviewer2_score,reviewer3_label,reviewer3_score,annotator_agreement
-- -- also there are minor issues in the paper which makes it a bit hard to read .,the presentation of the paper was mostly clear .,positive,negative,0,-1,0,-1,0,-1,0,-1,TRUE
- additional experimental results are needed to ensure the algorithm since there is no theoretical guarantee .,the environments represent a good range of multi-agent scenarios of suitable complexity to test modern deep rl algorithms .,positive,negative,0,0,0,0,0,1,0,1,FALSE
- all datasets investigated in this paper are rather small .,the author s empirical study is comprehensive and to my knowledge the most detailed published work on this to date .,positive,negative,0,0,0,0,0,0,0,0,TRUE
- although the presented metrics show that the removal of nsp loss helps however no explanation was provided based on qualitative evaluation as to why this is the case .,cons - while the replication study is well appreciated the novelty contribution of the paper is marginally incremental as the model structure is largely unchanged from bert .,positive,negative,0,-1,0,-1,0,-1,0,-1,TRUE
- better exposition needed - it would have been helpful to include more examples of the original methods cutout and sample pairing .,- overall the paper is awkwardly written .,positive,negative,0,0,0,0,0,2,0,-2,FALSE
- clarity the paper is well-written for a theory audience but fairly dense and requires careful reading which i think will limit its reach to the wider community .,there are some problems with the notation in the paper .,negative,positive,0,-1,0,-1,0,-1,0,-1,TRUE
- enough details are given that the paper can likely be reproduced with or without source code .,i admit i may have missed some details of your experimental evaluation the answer was ... for pascal segmentation we add the l-rnn into a pre-trained network this adds recurrence parameters and again show that this boosts performance - more so than adding the same number of parameters as extra cnn layers - as it is able to model long-range dependences i could not find one such experiment in the paper 'more so than adding the same number of parameters as extra cnn layers ' i understand that you have 2048 x 2048 connections for the recurrence it would be interesting to see what you get by spreading them over non-recurrent residual layers .,negative,positive,0,-1,0,-1,0,-1,0,-1,TRUE
- experimental results are quite promising as expected .,furthermore evaluations seem rather noisy to make a reliable judgement .,negative,positive,1,5,1,5,1,5,1,5,TRUE
- experimental results in the paper are strong and experimental settings are easy to understand .,the claims in the contributions section in page 2 are not adequately supported by extensive experimentation .,negative,positive,0,-1,0,-1,0,-2,0,-2,FALSE
- feature extraction layer is very confusing again .,the paper is written clearly and is very easy to follow .,positive,negative,1,4,1,4,1,4,1,4,TRUE
